aika,kulutus_v1,kulutus_v2,kulutus_v3,tuotanto_v1,tuotanto_v2,tuotanto_v3
2025-10-13T00:00:00,500,200,300,10,20,30
2025-10-13T01:00:00,450,180,250,5,15,25
2025-10-14T00:00:00,600,220,310,15,25,35
2025-10-14T01:00:00,550,210,290,10,20,30
2025-10-15T00:00:00,480,190,280,8,18,28
2025-10-15T01:00:00,470,185,270,7,17,27
2025-10-16T00:00:00,520,210,320,12,22,32
2025-10-16T01:00:00,510,205,310,11,21,31
2025-10-17T00:00:00,530,215,330,13,23,33
2025-10-17T01:00:00,520,210,320,12,22,32
2025-10-18T00:00:00,540,220,340,14,24,34
2025-10-18T01:00:00,530,215,330,13,23,33
2025-10-19T00:00:00,550,225,350,15,25,35
2025-10-19T01:00:00,540,220,340,14,24,34





